website Name,Links,Payment Links,Exam Date
National School Olympiad,https://nationalschoololympiad.com/,,"Olympiad	Date 1	Date 2	Date 3
National English Olympiad
Tuesday, 7th Oct
Friday, 7th Nov
Tuesday, 2nd Dec
National Science Olympiad
Friday, 17th Oct
Tuesday, 11th Nov
Thursday, 11th Dec
National Maths Olympiad
Tuesday, 21st Oct
Tuesday, 18th Nov
Friday, 19th Dec"
International Scratch Olympiad,https://scratcholympiads.com/,,31 October
,https://scratcholympiads.in/,,31 October
International Abacus Olympiad,https://abacusolympiad.com/,,"30th September 2025
12th October 2025"
,https://abacusolympiad.co.in/,,"30 September 2025
12 October 2025"
Academic Deacthon,https://academicdecathlons.com/,,"25 November 
15 December"
International Current Affairs,https://currentaffairscompetition.com/,,
,https://currentaffairscompetition.in/,,
Cybeorg,https://cybeorg.com/,,
international painting olympics,https://paintingolympics.com/,https://book.stripe.com/14A6oGfw5f9idLXdpA1B61l,
,https://paintingolympics.in/,https://rzp.io/rzp/paintingolympicssep25,
International Finance Olympiad,https://internationalfinanceolympiad.in/,,
,https://internationalfinanceolympiad.com/,,
International Letter Writing Competition,https://letterwritingcompetition.com/,https://book.stripe.com/28EeVc6Zz4uE9vH4T41B61j,
,https://letterwritingcompetition.in/,https://pages.razorpay.com/letterwritingsep25,
International Poster making Contest,https://postermakingcontest.com/,https://book.stripe.com/aEU4jw5NL2L87RecNx,
,https://postermaking.in/,https://pages.razorpay.com/postermaking24,
Short Story Writing Competition,https://storywriting.in/,https://pages.razorpay.com/storywritingoct25,
,https://storywritingcompetition.com/,https://book.stripe.com/28E6oGdnX5yI9vHgBM1B61h,
International Spell Bee,https://internationalspellbee.com/,,
,https://internationalspellbee.in/,,
International Student Speaker Competition,https://studentspeakercompetition.com/,https://book.stripe.com/3cIbJ0bfP9OYgY9clw1B61i,
,https://studentspeakercompetition.in/,https://pages.razorpay.com/studentspeakersep25,
World German Championship,https://worldgermanchampionship.com/,https://book.stripe.com/eVag2e7VT2L8fjG29i,
World French Championship,https://worldfrenchchampionship.com/,https://book.stripe.com/eVag2e7VT2L8fjG29i,
World Spanish Championship,https://worldspanishchampionship.com/,https://book.stripe.com/eVag2e7VT2L8fjG29i,
World English Championship,https://worldenglishchampionship.com/,https://book.stripe.com/00w14p8c6bQweO58X41ck04,
,https://worldenglishchampionship.in/,https://pages.razorpay.com/worldenglish25,
world Math Championship,https://worldmathschampionship.in/,https://pages.razorpay.com/worldmaths,
,https://worldmathschampionship.com/,https://book.stripe.com/14AdRb2RM6wcbBTb5c1ck02,
World Story Telling Competition,https://worldstorytellingcompetition.com/,https://book.stripe.com/28EbJ39gacUAgWdeho1ck05,
,https://worldstorytellingcompetition.in/,,
International Python Olympiad,https://pythonolympiad.com/,https://book.stripe.com/4gMcN73VQdYE8pHfls1ck03,
International Young Scientist,https://youngscientistaward.com/,,
,https://youngscientistaward.in/,,
International Essay Writing Competition,https://essaywritingcompetition.com/,https://book.stripe.com/fZueVf4ZU6wcbBT7T01ck01,
,https://essaywritingcompetition.in/,https://rzp.io/rzp/essaysep25https://rzp.io/rzp/essaysep25,
Winter Painting Competition,https://winterpaintingcompetition.com/,,
